[2026-04-06 22:48:56] INFO     binance_bot — 📐 [AVAXUSDT] SHORT qty=1.0000 | TP=9.16 | SL=9.37 | Ризик=2.00 USDT
[2026-04-06 22:48:56] DEBUG    binance_bot — AVAXUSDT: тип маржі вже ISOLATED
[2026-04-06 22:48:56] DEBUG    binance_bot — AVAXUSDT: плече x5 ISOLATED встановлено
[2026-04-06 22:48:57] INFO     binance_bot — 📥 [AVAXUSDT] SHORT відкрито: qty=1.0000 @ 9.30 USDT | orderId=190245947
[2026-04-06 22:48:57] DEBUG    binance_bot — [AVAXUSDT] SL не виставлено на біржі (APIError(code=-4120): Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.) — soft monitoring активний
[2026-04-06 22:48:57] DEBUG    binance_bot — [AVAXUSDT] TP не виставлено на біржі (APIError(code=-4120): Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.) — soft monitoring активний
[2026-04-06 22:48:57] INFO     binance_bot — [AVAXUSDT] 🔁 SL/TP моніторяться ботом: SL=9.37 | TP=9.16 (перевірка щохвилини)
[2026-04-06 22:48:57] INFO     binance_bot — ✅ [AVAXUSDT] SHORT | Вхід: 9.30 | TP: 9.16 | SL: 9.37 | qty: 1.0000
[2026-04-06 22:48:57] DEBUG    binance_bot — Надсилаємо Telegram (відкриття): AVAXUSDT
[2026-04-06 22:49:58] INFO     binance_bot — ─── Скан #2 (19:49:58 UTC) ───
[2026-04-06 22:49:59] INFO     binance_bot — 📌 [AVAXUSDT] SHORT | Ціна=9.30 | TP=9.16 | SL=9.37 | P&L=-0.02%
[2026-04-06 22:49:59] DEBUG    binance_bot — [BNBUSDT] LONG відхилено: EMA OK, RSI=52.9 OK, але MACD не перетинає вгору
[2026-04-06 22:49:59] DEBUG    binance_bot — [XRPUSDT] SHORT відхилено: EMA OK, RSI=42.5 OK, але MACD не перетинає вниз
[2026-04-06 22:50:00] DEBUG    binance_bot — [SOLUSDT] SHORT відхилено: EMA OK, RSI=44.2 OK, але MACD не перетинає вниз
[2026-04-06 22:50:00] DEBUG    binance_bot — [ETHUSDT] LONG відхилено: EMA OK, RSI=45.6 OK, але MACD не перетинає вгору
[2026-04-06 22:50:00] INFO     binance_bot — ✅ [AVAXUSDT] SHORT: EMA21=9.34 < EMA50=9.35, RSI=39.1, MACD перетнув вниз
[2026-04-06 22:50:01] DEBUG    binance_bot — AVAXUSDT: вже є відкрита позиція (-1)
[2026-04-06 22:50:01] INFO     binance_bot — [AVAXUSDT] Позиція вже відкрита — пропускаємо
